price,title,url
Ft24929.13,"Дънна платка BIOSTAR H81MHV3, Intel H81, sock. 1150, Ver 7.3",https://allstore.bg/product/613558/danna-platka-biostar-h81mhv3-intel-h81-sock-1150-ver-7-3.html
Ft38161.62,"Процесор Intel Rocket Lake Core i5-11400F, 6 Cores, 2.60Ghz (Up to 4.40Ghz), 12MB, 65W, LGA1200, TRAY",https://allstore.bg/product/613682/protsesor-intel-rocket-lake-core-i5-11400f-6-cores-2-60ghz-up-to-4-40ghz-12mb-65w-lga1200-tray.html
Ft66025.66,"Процесор Intel Rocket Lake Core i5-11400, 6 Cores, 2.60Ghz (Up to 4.40Ghz), 12MB, 65W, LGA1200, TRAY",https://allstore.bg/product/613683/protsesor-intel-rocket-lake-core-i5-11400-6-cores-2-60ghz-up-to-4-40ghz-12mb-65w-lga1200-tray.html
Ft72571.56,"Процесор Intel Raptor Lake Core i5-13400F TRAY, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W",https://allstore.bg/product/613749/protsesor-intel-raptor-lake-core-i5-13400f-tray-6p-4e-cores-2-50-ghz-20mb-lga1700-65w.html
Ft74541.19,"Процесор Intel Raptor Lake Core i5-14400F, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W, BOX",https://allstore.bg/product/613709/protsesor-intel-raptor-lake-core-i5-14400f-6p-4e-cores-2-50-ghz-20mb-lga1700-65w-box.html
Ft74896.82,"Процесор Intel Alder Lake Core i5-12600KF, 10 Cores, 3.7GHz, 20MB, LGA1700, BOX",https://allstore.bg/product/613687/protsesor-intel-alder-lake-core-i5-12600kf-10-cores-3-7ghz-20mb-lga1700-box.html
Ft75846.46,"Процесор Intel Comet Lake-S Core I5-10400, 6 cores, 2.9Ghz, 12MB, 65W, LGA1200, BOX",https://allstore.bg/product/613677/protsesor-intel-comet-lake-s-core-i5-10400-6-cores-2-9ghz-12mb-65w-lga1200-box.html
Ft80647.44,"Intel CPU Desktop Core i5-12500 (3.0GHz, 18MB, LGA1700) box",https://allstore.bg/product/610659/intel-cpu-desktop-core-i5-12500-3-0ghz-18mb-lga1700-box.html
Ft87277.36,"Процесор Intel Raptor Lake i5-13600KF, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, Tray, No Graphics",https://allstore.bg/product/613730/protsesor-intel-raptor-lake-i5-13600kf-14-cores-3-5-ghz-24mb-125w-lga1700-tray-no-graphics.html
Ft87437.59,"Процесор Intel Alder Lake Core i5-12400, 6 Cores, 12 Threads (2.5GHz Up to 4.4Ghz, 18MB, LGA1700), 65W, Intel UHD Graphics 730, TRAY",https://allstore.bg/product/615332/protsesor-intel-alder-lake-core-i5-12400-6-cores-12-threads-2-5ghz-up-to-4-4ghz-18mb-lga1700-65w-intel-uhd-graphics-730-tray.html
Ft89219.64,"LENOVO THINKPAD T480 I5-8350U CPU 1.70GHZ 14"" (1920 x 1080) 8 GB 256 GB NVMe SSD Windows 11 Pro US KBD 1Y 1m battery",https://allstore.bg/product/610528/lenovo-thinkpad-t480-i5-8350u-cpu-1-70ghz-14-1920-x-1080-8-gb-256-gb-nvme-ssd-windows-11-pro-us-kbd-1y-1m-battery.html
Ft90087.22,Процесор Intel Core i5-13400 4.60GHz L1700 Tray,https://allstore.bg/product/615728/protsesor-intel-core-i5-13400-4-60ghz-l1700-tray.html
Ft92736.84,Процесор Intel Core i5-13400 LGA1700 BOX,https://allstore.bg/product/615718/protsesor-intel-core-i5-13400-lga1700-box.html
Ft93639.59,"Вътрешен кепчър AVerMedia LIVE Gamer DUO, PCIe",https://allstore.bg/product/116877/vatreshen-kepchar-avermedia-live-gamer-duo-pcie.html
Ft99286.65,"Процесор Intel Alder Lake Core i5-12500, 6 Cores, 3.00 GHz, 18MB, LGA1700, 65W, BOX",https://allstore.bg/product/613688/protsesor-intel-alder-lake-core-i5-12500-6-cores-3-00-ghz-18mb-lga1700-65w-box.html
Ft100156.18,Процесор Intel Core i5-14600K LGA1700 Tray,https://allstore.bg/product/615727/protsesor-intel-core-i5-14600k-lga1700-tray.html
Ft101142.95,"Процесор Intel Raptor Lake i5-14600KF, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, BOX",https://allstore.bg/product/615008/protsesor-intel-raptor-lake-i5-14600kf-14-cores-3-5-ghz-24mb-125w-lga1700-box.html
Ft101479.04,"LENOVO THINKPAD T480S I5-8350U CPU 1.70GHZ 14"" (1920 x 1080) touchscreen 16 GB 256 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610507/lenovo-thinkpad-t480s-i5-8350u-cpu-1-70ghz-14-1920-x-1080-touchscreen-16-gb-256-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft104552.68,"Процесор Intel Raptor Lake Core i5-13500 TRAY, 2.5GHz, 24MB, LGA1700, 65W",https://allstore.bg/product/613744/protsesor-intel-raptor-lake-core-i5-13500-tray-2-5ghz-24mb-lga1700-65w.html
Ft104693.37,"Процесор Intel Raptor Lake i5-14600K, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, BOX",https://allstore.bg/product/614913/protsesor-intel-raptor-lake-i5-14600k-14-cores-3-5-ghz-24mb-125w-lga1700-box.html
Ft106207.72,"Intel CPU Desktop Core i5-14500 (up to 5.00 GHz, 24M Cache, LGA1700) box",https://allstore.bg/product/615070/intel-cpu-desktop-core-i5-14500-up-to-5-00-ghz-24m-cache-lga1700-box.html
Ft108017.12,"Процесор Intel Raptor Lake Core i5-13600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700, NO COOLER",https://allstore.bg/product/613738/protsesor-intel-raptor-lake-core-i5-13600k-tray-14-cores-3-5-ghz-24mb-125w-lga1700-no-cooler.html
Ft117826.20,"Процесор Intel Raptor Lake Core i5-14400, 6P+4E Cores, 2.50 GHz, 20MB, LGA1700, 65W, BOX",https://allstore.bg/product/615346/protsesor-intel-raptor-lake-core-i5-14400-6p-4e-cores-2-50-ghz-20mb-lga1700-65w-box.html
Ft117908.27,Процесор Intel Core i5-14400 4.7Hz LGA1700 Tray,https://allstore.bg/product/609440/protsesor-intel-core-i5-14400-4-7hz-lga1700-tray.html
Ft126380.81,"LENOVO THINKPAD T580 I5-8350U CPU 1.70GHZ 15.6"" (1920 x 1080) 16 GB 256 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610557/lenovo-thinkpad-t580-i5-8350u-cpu-1-70ghz-15-6-1920-x-1080-16-gb-256-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft126380.81,"DELL LATITUDE 5590 I5-8250U CPU 1.60GHZ 15.6"" (1920 x 1080) 16 GB 256 GB SATA SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610494/dell-latitude-5590-i5-8250u-cpu-1-60ghz-15-6-1920-x-1080-16-gb-256-gb-sata-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft128340.67,"Процесор Intel Raptor Lake i5-14600 TRAY, 14 Cores, 2.7 GHz, 24MB, 65W, LGA1700",https://allstore.bg/product/619436/protsesor-intel-raptor-lake-i5-14600-tray-14-cores-2-7-ghz-24mb-65w-lga1700.html
Ft128340.67,"Процесор Intel Raptor Lake i5-14600K TRAY, 14 Cores, 3.5 GHz, 24MB, 125W, LGA1700",https://allstore.bg/product/618235/protsesor-intel-raptor-lake-i5-14600k-tray-14-cores-3-5-ghz-24mb-125w-lga1700.html
Ft130406.05,"Процесор Intel Raptor Lake Core i5-14500 TRAY, 2.5GHz, 24MB, LGA1700, 65W",https://allstore.bg/product/620185/protsesor-intel-raptor-lake-core-i5-14500-tray-2-5ghz-24mb-lga1700-65w.html
Ft132975.56,"DELL LATITUDE 5590 I5-8250U CPU 1.60GHZ 15.6"" (1920 x 1080) 16 GB 512 GB SATA SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610547/dell-latitude-5590-i5-8250u-cpu-1-60ghz-15-6-1920-x-1080-16-gb-512-gb-sata-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft132975.56,"LENOVO THINKPAD T580 I5-8350U CPU 1.70GHZ 15.6"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610479/lenovo-thinkpad-t580-i5-8350u-cpu-1-70ghz-15-6-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft137688.61,"DELL LATITUDE 5410 I5-10210U CPU 1.60GHZ 14"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610499/dell-latitude-5410-i5-10210u-cpu-1-60ghz-14-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft145428.40,"Prestigio Solutions Digital Media Player PSMPC105, i5-1235u, No RAM&ROM, Wi-Fi 6, No OS",https://allstore.bg/product/611730/prestigio-solutions-digital-media-player-psmpc105-i5-1235u-no-ram-rom-wi-fi-6-no-os.html
Ft170134.78,"LENOVO THINKPAD T14S I5-10210U CPU 1.60GHZ 14"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610554/lenovo-thinkpad-t14s-i5-10210u-cpu-1-60ghz-14-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft183529.45,"DELL LATITUDE 5520 I5-1145G7 CPU 2.60GHZ 15.6"" (1920 x 1080) 16 GB 512 GB NVMe SSD Windows 11 Pro BG KBD 1Y 1m battery",https://allstore.bg/product/610556/dell-latitude-5520-i5-1145g7-cpu-2-60ghz-15-6-1920-x-1080-16-gb-512-gb-nvme-ssd-windows-11-pro-bg-kbd-1y-1m-battery.html
Ft201371.42,Преносим компютър Acer Aspire 3 A315-59,https://allstore.bg/product/616903/prenosim-kompyutar-acer-aspire-3-a315-59.html
Ft205988.73,"Лаптоп Dell Pro 15 Essential PV15250, Intel Core i5-1334U (10 cores, up to 4.60 GHz), 15.6"" FHD (1920x1080) 120Hz WVA AG, 8GB, 1x8GB, DDR5, 5200MT/s, 512GB M.2 PCIe NVMe, Intel UHD Graphics, HD RGB cam, Wi-Fi 6, FPR, Bulgarian, Ubuntu, Carbon, 3Y PS",https://allstore.bg/product/620299/laptop-dell-pro-15-essential-pv15250-intel-core-i5-1334u-10-cores-up-to-4-60-ghz-15-6-fhd-1920x1080-120hz-wva-ag-8gb-1x8gb-ddr5-5200mt-s-512gb-m-2-pcie-nvme-intel-uhd-graphics-hd-rgb-cam-wi-fi-6-fpr-bulgarian-ubuntu-carbon-3y-ps.html
Ft216155.39,"Лаптоп Acer Extensa EX215-57-57TE, Core i5 13420H(up to 4.7GHz, 12MB), 15.6"" FHD (1920x1080)IPS 300nits, 16GB DDR5 (1slot free), SSD 512GB, Intel UHD Graphics, TPM 2.0, Wi-Fi 6 AX, BT 5.2, Energy star, No OS, Silver",https://allstore.bg/product/620945/laptop-acer-extensa-ex215-57-57te-core-i5-13420h-up-to-4-7ghz-12mb-15-6-fhd-1920x1080-ips-300nits-16gb-ddr5-1slot-free-ssd-512gb-intel-uhd-graphics-tpm-2-0-wi-fi-6-ax-bt-5-2-energy-star-no-os-silver.html
Ft218146.51,"PRESTIGIO SOLUTIONS OPS PC Core i5 12th Gen, 8GB DDR5 RAM, 256GB SSD, TPM2.0, Wi-Fi 6, Bluetooth 5.2, Windows 11 trial",https://allstore.bg/product/617748/prestigio-solutions-ops-pc-core-i5-12th-gen-8gb-ddr5-ram-256gb-ssd-tpm2-0-wi-fi-6-bluetooth-5-2-windows-11-trial.html
Ft224217.59,"Лаптоп Dell Pro 15 Essential PV15250, Intel Core i5-1334U (10 cores, up to 4.60 GHz), 15.6"" FHD (1920x1080) 120Hz WVA AG, 16 GB, 1 x 16 GB, DDR5, 5200 MT/s, 512GB M.2 PCIe NVMe, Intel UHD Graphics, HD RGB cam, Wi-Fi 6, FPR, Bulgarian, Ubuntu, Carbon, 3Y P",https://allstore.bg/product/620303/laptop-dell-pro-15-essential-pv15250-intel-core-i5-1334u-10-cores-up-to-4-60-ghz-15-6-fhd-1920x1080-120hz-wva-ag-16-gb-1-x-16-gb-ddr5-5200-mt-s-512gb-m-2-pcie-nvme-intel-uhd-graphics-hd-rgb-cam-wi-fi-6-fpr-bulgarian-ubuntu-carbon-3y-p.html
Ft229024.43,Настолен компютър VALI OFFICE PREMIUM,https://allstore.bg/product/614232/nastolen-kompyutar-vali-office-premium.html
Ft238620.53,ACER ASPIRE A17-51M-562E,https://allstore.bg/product/606355/acer-aspire-a17-51m-562e.html
